VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2018,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2019,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2020,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Afghanistan,2021,30.613806827,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2018,2.162251656,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2019,2.291390729,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2020,1.804635762,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Albania,2021,1.867549669,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2018,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2019,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2020,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Algeria,2021,57.178366332,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2018,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2019,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2020,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Angola,2021,0.098854447,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2018,3.461538461,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2019,3.461538461,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2020,3.461538461,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Antigua and Barbuda,2021,3.461538461,%,I,False
