eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2000,26.0116,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2001,25.6066,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2002,27.2587,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2003,26.8406,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2004,26.8026,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2005,25.895,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2006,26.2464,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2007,25.4612,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2008,24.7687,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2009,25.5224,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2010,26.3506,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2011,26.238,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2012,25.7652,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2013,24.6644,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2014,24.4964,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2015,23.9957,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2016,23.2279,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2017,22.8905,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2018,21.9262,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2019,21.8912,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2020,21.0045,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2021,22.2797,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,AT,Austria,2022,21.3611,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,BE,Belgium,2000,27.9119,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,BE,Belgium,2001,26.7925,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,BE,Belgium,2002,26.9608,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,BE,Belgium,2003,27.9027,
06_40,NO3_MG_L,Nitrate in groundwater,MG_L,mg NO3 per litre,BE,Belgium,2004,27.6476,
