eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2000,0.0248889,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2001,0.0243333,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2002,0.0257778,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2003,0.0272222,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2004,0.0183333,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2005,0.0613333,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2006,0.0956667,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2007,0.0869167,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2008,0.285417,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2009,0.140042,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2010,0.258917,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2011,0.118444,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2012,0.0514167,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2013,0.0482778,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2014,0.0451389,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2015,0.042,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2016,0.285083,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2017,0.134778,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2018,0.0905333,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2019,0.0581417,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2020,0.0822833,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2021,0.0513722,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AL,Albania,2022,0.233667,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2000,0.268595,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2001,0.242966,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2002,0.247196,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2003,0.317124,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2004,0.300268,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2005,0.281978,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2006,0.228385,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2007,0.19207,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2008,0.160339,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2009,0.227118,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2010,0.214582,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2011,0.216732,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2012,0.160036,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2013,0.165734,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2014,0.173173,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2015,0.187545,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2016,0.169271,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2017,0.214857,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2018,0.192122,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2019,0.219719,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2020,0.196678,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2021,0.148426,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2022,0.20626,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2000,0.224564,
