eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2012,216972,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2016,386069,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2019,552008,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2021,612094,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2022,628749,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2012,1273,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2016,1274,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2019,1274,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2021,1322,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BE,Belgium,2022,1320,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2012,995,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2016,2834,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2019,2834,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2021,2856,
14_10,KM2,Marine protected areas,KM2,Square kilometre,BG,Bulgaria,2022,2857,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2012,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2016,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2019,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2021,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,CZ,Czechia,2022,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2012,19087,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2016,19122,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2019,19675,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2021,19681,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DK,Denmark,2022,19664,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2012,25641,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2016,25684,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2019,25688,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2021,25637,
14_10,KM2,Marine protected areas,KM2,Square kilometre,DE,Germany,2022,25616,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2012,6759,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2016,6757,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2019,6813,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2021,6813,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EE,Estonia,2022,6814,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2012,6816,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2016,10264,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2019,10257,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2020,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2021,10261,
14_10,KM2,Marine protected areas,KM2,Square kilometre,IE,Ireland,2022,10252,B
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2012,7414,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2013,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2014,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2015,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2016,7430,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2017,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2018,,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2019,22550,
14_10,KM2,Marine protected areas,KM2,Square kilometre,EL,Greece,2020,,
